User_ID,Age,Gender,Age Group,Category,Profession_Type,Daily_Screen_Time,Social_Media_Time,Study_Time,Entertainment_Time,Device_Before_Sleep,Sleep_Hours,Sleep_Quality,Stress_Level,Eye_Strain,Physical_Activity,Productivity_Level,Academic_Performance,Concentration_Level
1,38,Male,Adult,Working,Government,5.6,4.7,2.8,2.8,No,7.9,Good,9,No,2.3,Low,4,9
2,43,Male,Adult,Working,IT Services,6.2,0.9,4.5,1.7,Yes,7.4,Good,8,Yes,0.8,High,44,8
3,49,Female,Adult,Non-Working,Retired,6.2,1.1,1.6,4.6,No,4.1,Poor,5,Yes,1.5,Medium,98,8
4,68,Female,Senior,Working,Government,8.0,1.5,1.3,6.7,Yes,7.7,Good,7,Yes,1.1,High,25,10
5,21,Female,Adult,Non-Working,Unemployed,3.7,5.0,3.4,0.5,No,7.6,Good,2,No,1.2,Low,52,8
6,23,Female,Adult,Working,Healthcare,6.8,1.4,1.6,5.2,Yes,6.8,Average,10,Yes,1.8,Medium,81,4
7,78,Male,Senior,Non-Working,Retired,7.3,3.1,1.1,6.2,No,4.8,Poor,10,Yes,2.4,High,3,7
8,41,Male,Adult,Working,Freelancer,4.6,3.9,4.3,0.5,Yes,4.4,Poor,4,No,0.7,Medium,6,6
9,13,Female,Teen,Student,College Student,3.8,1.8,1.8,2.0,No,8.0,Good,8,No,2.2,High,66,6
10,65,Female,Senior,Non-Working,Homemaker,5.6,0.7,3.2,2.4,Yes,4.4,Poor,3,No,0.5,High,85,6
11,29,Male,Adult,Non-Working,Homemaker,5.5,1.7,4.1,1.4,Yes,8.4,Good,9,No,2.3,High,63,3
12,39,Female,Adult,Working,Education,3.5,0.9,2.7,0.8,No,5.6,Average,3,No,1.1,Low,97,9
13,30,Male,Adult,Working,Healthcare,9.9,4.0,1.0,8.9,No,5.3,Average,3,Yes,2.3,High,13,3
14,31,Male,Adult,Working,Education,8.6,4.0,2.7,5.9,No,5.0,Average,10,Yes,1.4,High,40,5
15,27,Female,Adult,Working,Education,8.9,2.2,1.7,7.2,No,7.2,Good,10,Yes,0.4,High,37,9
16,75,Female,Senior,Working,IT Services,5.7,1.3,3.0,2.7,No,8.8,Good,4,No,1.4,Medium,41,6
17,34,Male,Adult,Non-Working,Homemaker,3.3,3.8,1.0,2.3,No,4.1,Poor,5,No,2.1,High,69,3
18,59,Female,Adult,Non-Working,Homemaker,5.0,2.0,1.3,3.7,Yes,7.3,Good,5,No,0.9,High,71,5
19,46,Female,Adult,Non-Working,Homemaker,9.2,4.0,2.1,7.1,Yes,4.8,Poor,10,Yes,1.9,Low,10,2
20,67,Male,Senior,Working,Healthcare,3.0,2.8,1.5,1.5,Yes,7.6,Good,2,No,2.4,High,20,9
21,59,Female,Adult,Working,Business,5.3,1.9,3.4,1.9,Yes,8.3,Good,6,No,0.7,Low,33,3
22,49,Female,Adult,Working,Healthcare,7.2,4.7,3.6,3.6,No,7.7,Good,8,Yes,1.5,High,58,9
23,18,Female,Teen,Non-Working,Homemaker,8.4,3.2,2.2,6.2,Yes,7.5,Good,5,Yes,1.6,Medium,44,10
24,55,Female,Adult,Non-Working,Retired,3.0,4.4,2.2,0.8,Yes,6.4,Average,1,No,1.7,Low,60,4
25,19,Female,Teen,Student,College Student,8.5,3.6,1.2,7.3,No,4.3,Poor,2,Yes,0.3,Medium,56,7
26,51,Female,Adult,Non-Working,Unemployed,4.6,3.1,1.5,3.1,No,5.2,Average,5,No,0.3,Medium,72,6
27,21,Male,Adult,Student,College Student,7.9,1.0,4.1,3.8,No,5.8,Average,6,Yes,2.4,Low,53,5
28,55,Female,Adult,Working,Government,8.6,4.4,3.8,4.8,Yes,5.8,Average,3,Yes,0.4,High,39,2
29,37,Female,Adult,Working,Healthcare,7.8,4.5,0.7,7.1,Yes,4.8,Poor,9,Yes,0.3,Medium,78,10
30,36,Male,Adult,Working,Healthcare,2.3,1.1,3.7,0.5,No,6.7,Average,8,No,2.2,High,93,10
31,55,Female,Adult,Working,Business,7.6,2.1,1.0,6.6,No,7.6,Good,2,Yes,2.0,Medium,74,8
32,58,Female,Adult,Working,Corporate,4.6,3.0,3.1,1.5,Yes,7.6,Good,6,No,1.8,Low,71,2
33,78,Female,Senior,Working,Business,6.1,1.8,2.0,4.1,Yes,4.6,Poor,3,Yes,0.2,High,64,6
34,51,Female,Adult,Working,Government,6.6,4.7,0.4,6.2,Yes,8.5,Good,4,Yes,0.3,Medium,73,3
35,44,Female,Adult,Working,IT Services,9.5,1.2,4.0,5.5,No,5.5,Average,10,Yes,0.4,Low,69,4
36,32,Female,Adult,Non-Working,Retired,6.4,4.0,2.7,3.7,Yes,6.4,Average,1,Yes,0.4,High,40,4
37,77,Male,Senior,Non-Working,Homemaker,5.8,3.4,3.0,2.8,No,4.5,Poor,4,No,0.8,Medium,15,6
38,65,Male,Senior,Non-Working,Retired,6.1,0.8,0.3,5.8,Yes,6.1,Average,4,Yes,0.1,Low,42,7
39,70,Female,Senior,Non-Working,Homemaker,8.0,4.0,3.5,4.5,No,7.5,Good,1,Yes,0.7,Medium,92,9
40,79,Female,Senior,Working,Government,8.8,1.5,2.7,6.1,No,4.5,Poor,5,Yes,1.8,Low,90,4
41,37,Male,Adult,Working,Healthcare,8.6,2.0,3.5,5.1,No,6.7,Average,1,Yes,0.8,Medium,48,9
42,68,Female,Senior,Non-Working,Unemployed,3.4,3.7,1.0,2.4,No,4.5,Poor,9,No,0.7,High,87,5
43,27,Female,Adult,Working,Healthcare,5.5,3.2,0.4,5.1,No,4.4,Poor,2,No,1.0,Low,87,7
44,78,Female,Senior,Non-Working,Unemployed,4.1,3.0,4.3,0.5,Yes,4.4,Poor,6,No,1.2,Low,72,6
